Bandit,Reward,Algorithm
3.0,2.8964143905625614,EpsilonGreedy
3.0,3.342321497754555,EpsilonGreedy
3.0,3.430404220629192,EpsilonGreedy
3.0,3.6233918991418963,EpsilonGreedy
3.0,3.5182272849229674,EpsilonGreedy
3.0,3.4664015038265,EpsilonGreedy
3.0,2.870995166367195,EpsilonGreedy
3.0,5.5530256299288006,EpsilonGreedy
3.0,3.480734049932191,EpsilonGreedy
3.0,4.962133432009674,EpsilonGreedy
3.0,3.864163804420638,EpsilonGreedy
3.0,3.926890492298508,EpsilonGreedy
3.0,4.134654226511597,EpsilonGreedy
3.0,4.230646868720554,EpsilonGreedy
3.0,5.046600016166491,EpsilonGreedy
3.0,3.627828831221391,EpsilonGreedy
3.0,5.538130495368039,EpsilonGreedy
3.0,3.4301876320275038,EpsilonGreedy
3.0,5.7048701202332595,EpsilonGreedy
3.0,3.3192971157140985,EpsilonGreedy
3.0,4.716708523229993,EpsilonGreedy
3.0,4.569761011950744,EpsilonGreedy
3.0,2.9454807712818845,EpsilonGreedy
3.0,1.4900184784471349,EpsilonGreedy
3.0,4.714293347947774,EpsilonGreedy
3.0,3.9873487701047003,EpsilonGreedy
3.0,3.7540510787179127,EpsilonGreedy
3.0,3.9926827544625585,EpsilonGreedy
3.0,3.7986742614456213,EpsilonGreedy
3.0,5.014636195779385,EpsilonGreedy
3.0,3.0107145549386907,EpsilonGreedy
3.0,2.934228395179944,EpsilonGreedy
3.0,3.9166482169334174,EpsilonGreedy
3.0,2.262862871452919,EpsilonGreedy
3.0,5.104039293062561,EpsilonGreedy
3.0,5.1018104158060975,EpsilonGreedy
3.0,5.4737577523987175,EpsilonGreedy
3.0,6.111897449335678,EpsilonGreedy
3.0,3.457467359587657,EpsilonGreedy
3.0,4.807527716949544,EpsilonGreedy
3.0,3.3689044709829234,EpsilonGreedy
3.0,3.1803082891645222,EpsilonGreedy
3.0,6.508646096226524,EpsilonGreedy
3.0,5.025643645966291,EpsilonGreedy
3.0,4.71375342319981,EpsilonGreedy
3.0,3.9890313030084545,EpsilonGreedy
3.0,4.134238127942889,EpsilonGreedy
3.0,4.582707082275583,EpsilonGreedy
3.0,4.753332175606236,EpsilonGreedy
3.0,3.965625307112337,EpsilonGreedy
3.0,2.8330288109569546,EpsilonGreedy
3.0,4.65166293081926,EpsilonGreedy
3.0,4.102120610325585,EpsilonGreedy
3.0,2.63084487981721,EpsilonGreedy
3.0,5.45096212171242,EpsilonGreedy
3.0,3.8810562010780494,EpsilonGreedy
3.0,4.232528520145693,EpsilonGreedy
3.0,2.202232034615659,EpsilonGreedy
3.0,3.820433900333448,EpsilonGreedy
3.0,3.3029065462701754,EpsilonGreedy
3.0,4.136293792624063,EpsilonGreedy
3.0,4.2784321292889285,EpsilonGreedy
3.0,3.8929034777128964,EpsilonGreedy
3.0,4.266825280255525,EpsilonGreedy
3.0,3.569198738571634,EpsilonGreedy
3.0,1.5346452066978342,EpsilonGreedy
3.0,3.7103857814766275,EpsilonGreedy
3.0,5.579961313834567,EpsilonGreedy
3.0,3.0459255683955226,EpsilonGreedy
3.0,5.101834205474079,EpsilonGreedy
3.0,5.112312404625557,EpsilonGreedy
3.0,4.214421662929332,EpsilonGreedy
3.0,4.875313088485457,EpsilonGreedy
3.0,3.9230273570596537,EpsilonGreedy
3.0,4.552327560651947,EpsilonGreedy
3.0,2.4863834835280505,EpsilonGreedy
3.0,4.21214792256785,EpsilonGreedy
3.0,0.8114682065124956,EpsilonGreedy
3.0,2.9994750226619313,EpsilonGreedy
3.0,4.944664174914182,EpsilonGreedy
